filename,File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean
1,Artificial_appearing-clusters_1_appearing-clustersincremental_aobhs_uob.csv,9479,78256,11909,356,0.4432,0.9638,0.6072,0.9638,0.8679,0.9146
1,Artificial_appearing-clusters_1_appearing-clustersperiodic_aobhs_uob.csv,9856,83707,6383,54,0.6069,0.9946,0.7538,0.9946,0.9291,0.9613
1,Artificial_appearing-clusters_1_appearing-clusterssudden_aobhs_uob.csv,9462,77579,12595,364,0.429,0.963,0.5935,0.963,0.8603,0.9102
1,Artificial_appearing-clusters_2_appearing-clustersincremental_aobhs_uob.csv,19614,67392,12619,375,0.6085,0.9812,0.7512,0.9812,0.8423,0.9091
1,Artificial_appearing-clusters_2_appearing-clustersperiodic_aobhs_uob.csv,20076,73541,6356,27,0.7595,0.9987,0.8628,0.9987,0.9204,0.9588
1,Artificial_appearing-clusters_2_appearing-clusterssudden_aobhs_uob.csv,19680,67066,12965,289,0.6028,0.9855,0.7481,0.9855,0.838,0.9088
1,Artificial_appearing-clusters_3_appearing-clustersincremental_aobhs_uob.csv,29758,59385,10606,251,0.7372,0.9916,0.8457,0.9916,0.8485,0.9173
1,Artificial_appearing-clusters_3_appearing-clustersperiodic_aobhs_uob.csv,30108,64419,5460,13,0.8465,0.9996,0.9167,0.9996,0.9219,0.9599
1,Artificial_appearing-clusters_3_appearing-clusterssudden_aobhs_uob.csv,29738,57582,12372,308,0.7062,0.9897,0.8243,0.9897,0.8231,0.9026
1,Artificial_appearing-clusters_4_appearing-clustersincremental_aobhs_uob.csv,39653,50191,9828,328,0.8014,0.9918,0.8865,0.9918,0.8363,0.9107
1,Artificial_appearing-clusters_4_appearing-clustersperiodic_aobhs_uob.csv,39949,55326,4707,18,0.8946,0.9995,0.9442,0.9995,0.9216,0.9598
1,Artificial_appearing-clusters_4_appearing-clusterssudden_aobhs_uob.csv,39569,49217,10829,385,0.7851,0.9904,0.8759,0.9904,0.8197,0.901
1,Artificial_appearing-minority_1_appearing-minorityincremental_aobhs_uob.csv,4464,86229,8901,406,0.334,0.9166,0.4896,0.9166,0.9064,0.9115
1,Artificial_appearing-minority_1_appearing-minorityperiodic_aobhs_uob.csv,431,89321,10179,69,0.0406,0.862,0.0776,0.862,0.8977,0.8797
1,Artificial_appearing-minority_1_appearing-minoritysudden_aobhs_uob.csv,4585,85959,9139,317,0.3341,0.9353,0.4923,0.9353,0.9039,0.9195
1,Artificial_appearing-minority_2_appearing-minorityincremental_aobhs_uob.csv,9466,81707,8428,399,0.529,0.9596,0.682,0.9596,0.9065,0.9326
1,Artificial_appearing-minority_2_appearing-minorityperiodic_aobhs_uob.csv,958,89264,9665,113,0.0902,0.8945,0.1638,0.8945,0.9023,0.8984
1,Artificial_appearing-minority_2_appearing-minoritysudden_aobhs_uob.csv,9637,80175,9894,294,0.4934,0.9704,0.6542,0.9704,0.8902,0.9294
1,Artificial_appearing-minority_3_appearing-minorityincremental_aobhs_uob.csv,14637,76927,8055,381,0.645,0.9746,0.7763,0.9746,0.9052,0.9393
1,Artificial_appearing-minority_3_appearing-minorityperiodic_aobhs_uob.csv,1338,91308,7220,134,0.1563,0.909,0.2668,0.909,0.9267,0.9178
1,Artificial_appearing-minority_3_appearing-minoritysudden_aobhs_uob.csv,14708,75473,9478,341,0.6081,0.9773,0.7497,0.9773,0.8884,0.9318
1,Artificial_appearing-minority_4_appearing-minorityincremental_aobhs_uob.csv,19652,73248,6787,313,0.7433,0.9843,0.847,0.9843,0.9152,0.9491
1,Artificial_appearing-minority_4_appearing-minorityperiodic_aobhs_uob.csv,1870,87547,10456,127,0.1517,0.9364,0.2611,0.9364,0.8933,0.9146
1,Artificial_appearing-minority_4_appearing-minoritysudden_aobhs_uob.csv,19734,72020,7924,322,0.7135,0.9839,0.8272,0.9839,0.9009,0.9415
