File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF-Re.csv,19168,159565,20765,502,0.48,0.9745,0.6432,0.9745,0.8848,0.9286,0.9677650692422306,8.078125
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF.csv,10665,176415,3915,9005,0.7315,0.5422,0.6228,0.5422,0.9783,0.7283,0.9674871186702817,10.390625
Artificial_appearing-clusters_1_appearing-clustersincremental_CALMID.csv,9577,116652,4979,3792,0.6579,0.7164,0.6859,0.7164,0.9591,0.8289,0.9651880607182601,6.296875
Artificial_appearing-clusters_1_appearing-clustersincremental_CSMOTE.csv,8910,79270,10895,925,0.4499,0.9059,0.6012,0.9059,0.8792,0.8925,0.9465501447087163,161.75
Artificial_appearing-clusters_1_appearing-clustersincremental_EFDT.csv,4939,87554,2611,4896,0.6542,0.5022,0.5682,0.5022,0.971,0.6983,0.9508155429106402,3.078125
Artificial_appearing-clusters_1_appearing-clustersincremental_MICFOAL.csv,6179,86540,3625,3656,0.6303,0.6283,0.6293,0.6283,0.9598,0.7765,0.9434028384554318,3.21875
Artificial_appearing-clusters_1_appearing-clustersincremental_OOB.csv,9482,80445,9720,353,0.4938,0.9641,0.6531,0.9641,0.8922,0.9275,0.9662311847586886,6.5
Artificial_appearing-clusters_1_appearing-clustersincremental_ROSE.csv,8378,83372,6793,1457,0.5522,0.8519,0.6701,0.8519,0.9247,0.8875,0.9674144083866355,11.625
Artificial_appearing-clusters_1_appearing-clustersincremental_SGBT.csv,2757,89804,361,7078,0.8842,0.2803,0.4257,0.2803,0.996,0.5284,0.9589187077828365,77.046875
Artificial_appearing-clusters_1_appearing-clustersincremental_UOB.csv,9530,75317,14848,305,0.3909,0.969,0.5571,0.969,0.8353,0.8997,0.9512154570825655,4.21875
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF-Re.csv,9875,84163,5927,35,0.6249,0.9965,0.7681,0.9965,0.9342,0.9648,0.979870311323389,8.40625
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF.csv,7516,86803,3287,2394,0.6957,0.7584,0.7257,0.7584,0.9635,0.8548,0.9794794481222332,11.328125
Artificial_appearing-clusters_1_appearing-clustersperiodic_CALMID.csv,8893,85694,4396,1017,0.6692,0.8974,0.7667,0.8974,0.9512,0.9239,0.9793535324413225,7.296875
Artificial_appearing-clusters_1_appearing-clustersperiodic_CSMOTE.csv,9787,80283,9807,123,0.4995,0.9876,0.6634,0.9876,0.8911,0.9381,0.9591396606532833,167.21875
Artificial_appearing-clusters_1_appearing-clustersperiodic_EFDT.csv,7025,86927,3163,2885,0.6895,0.7089,0.6991,0.7089,0.9649,0.827,0.9734101883092802,2.453125
Artificial_appearing-clusters_1_appearing-clustersperiodic_MICFOAL.csv,8297,85601,4489,1613,0.6489,0.8372,0.7311,0.8372,0.9502,0.8919,0.9631487763273838,2.75
Artificial_appearing-clusters_1_appearing-clustersperiodic_OOB.csv,9861,83742,6348,49,0.6084,0.9951,0.7551,0.9951,0.9295,0.9617,0.9788034266439918,5.234375
Artificial_appearing-clusters_1_appearing-clustersperiodic_ROSE.csv,9566,84874,5216,344,0.6471,0.9653,0.7748,0.9653,0.9421,0.9536,0.9790493506941539,9.609375
Artificial_appearing-clusters_1_appearing-clustersperiodic_SGBT.csv,3423,89513,577,6487,0.8558,0.3454,0.4922,0.3454,0.9936,0.5858,0.9751302436771659,76.234375
Artificial_appearing-clusters_1_appearing-clustersperiodic_UOB.csv,9892,80212,9878,18,0.5004,0.9982,0.6666,0.9982,0.8904,0.9427,0.9720208623084506,4.34375
Artificial_appearing-clusters_1_appearing-clusterssudden_ARF-Re.csv,9614,79039,11135,212,0.4633,0.9784,0.6289,0.9784,0.8765,0.9261,0.965870140037423,9.28125
Artificial_appearing-clusters_1_appearing-clusterssudden_ARF.csv,4992,88404,1770,4834,0.7382,0.508,0.6019,0.508,0.9804,0.7057,0.9652562766330708,13.09375
Artificial_appearing-clusters_1_appearing-clusterssudden_CALMID.csv,6453,86671,3503,3373,0.6482,0.6567,0.6524,0.6567,0.9612,0.7945,0.9603122053452612,7.765625
Artificial_appearing-clusters_1_appearing-clusterssudden_CSMOTE.csv,8805,79637,10537,1021,0.4552,0.8961,0.6037,0.8961,0.8831,0.8896,0.9466346670855686,169.15625
Artificial_appearing-clusters_1_appearing-clusterssudden_EFDT.csv,4657,87548,2626,5169,0.6394,0.4739,0.5444,0.4739,0.9709,0.6783,0.9459060832572417,2.59375
Artificial_appearing-clusters_1_appearing-clusterssudden_MICFOAL.csv,5895,86681,3493,3931,0.6279,0.5999,0.6136,0.5999,0.9613,0.7594,0.937299066863656,2.671875
Artificial_appearing-clusters_1_appearing-clusterssudden_OOB.csv,9506,79949,10225,320,0.4818,0.9674,0.6432,0.9674,0.8866,0.9261,0.9646994608171674,5.03125
Artificial_appearing-clusters_1_appearing-clusterssudden_ROSE.csv,8138,83412,6762,1688,0.5462,0.8282,0.6583,0.8282,0.925,0.8753,0.965131408358748,9.921875
Artificial_appearing-clusters_1_appearing-clusterssudden_SGBT.csv,2674,89847,327,7152,0.891,0.2721,0.4169,0.2721,0.9964,0.5207,0.9569630468052603,76.453125
Artificial_appearing-clusters_1_appearing-clusterssudden_UOB.csv,9403,74831,15343,423,0.38,0.957,0.544,0.957,0.8299,0.8911,0.9466221700442626,4.21875
Artificial_appearing-clusters_2_appearing-clustersincremental_ARF-Re.csv,19742,70933,9078,247,0.685,0.9876,0.8089,0.9876,0.8865,0.9357,0.9697986477832333,9.515625
Artificial_appearing-clusters_2_appearing-clustersincremental_ARF.csv,16087,75055,4956,3902,0.7645,0.8048,0.7841,0.8048,0.9381,0.8689,0.9693967344635943,13.25
Artificial_appearing-clusters_2_appearing-clustersincremental_CALMID.csv,17988,73446,6565,2001,0.7326,0.8999,0.8077,0.8999,0.9179,0.9089,0.9679840960184048,7.5625
Artificial_appearing-clusters_2_appearing-clustersincremental_CSMOTE.csv,17519,66540,13471,2470,0.5653,0.8764,0.6873,0.8764,0.8316,0.8537,0.9287843106424535,305.1875
Artificial_appearing-clusters_2_appearing-clustersincremental_EFDT.csv,14854,74723,5288,5135,0.7375,0.7431,0.7403,0.7431,0.9339,0.8331,0.9535209382470479,2.59375
Artificial_appearing-clusters_2_appearing-clustersincremental_MICFOAL.csv,17999,72473,7538,1990,0.7048,0.9004,0.7907,0.9004,0.9058,0.9031,0.9513195850223654,2.953125
Artificial_appearing-clusters_2_appearing-clustersincremental_OOB.csv,19746,70242,9769,243,0.669,0.9878,0.7978,0.9878,0.8779,0.9313,0.9648255041103743,5.765625
Artificial_appearing-clusters_2_appearing-clustersincremental_ROSE.csv,17167,59844,20167,2822,0.4598,0.8588,0.599,0.8588,0.7479,0.8015,0.8670473035206546,12.59375
Artificial_appearing-clusters_2_appearing-clustersincremental_SGBT.csv,12432,77298,2713,7557,0.8209,0.6219,0.7077,0.6219,0.9661,0.7751,0.964174981658167,80.375
Artificial_appearing-clusters_2_appearing-clustersincremental_UOB.csv,19753,67688,12323,236,0.6158,0.9882,0.7588,0.9882,0.846,0.9143,0.9570937985721295,5.140625
Artificial_appearing-clusters_2_appearing-clustersperiodic_ARF-Re.csv,20061,74706,5191,42,0.7944,0.9979,0.8846,0.9979,0.935,0.966,0.9797676470600852,9.3125
Artificial_appearing-clusters_2_appearing-clustersperiodic_ARF.csv,19560,75431,4466,543,0.8141,0.973,0.8865,0.973,0.9441,0.9584,0.9796949732184256,11.890625
Artificial_appearing-clusters_2_appearing-clustersperiodic_CALMID.csv,19788,75070,4827,315,0.8039,0.9843,0.885,0.9843,0.9396,0.9617,0.9793464835117133,7.015625
Artificial_appearing-clusters_2_appearing-clustersperiodic_CSMOTE.csv,20016,70794,9103,87,0.6874,0.9957,0.8133,0.9957,0.8861,0.9393,0.9602742663024637,305.984375
Artificial_appearing-clusters_2_appearing-clustersperiodic_EFDT.csv,19521,74537,5360,582,0.7846,0.971,0.8679,0.971,0.9329,0.9518,0.9730157312529685,2.515625
Artificial_appearing-clusters_2_appearing-clustersperiodic_MICFOAL.csv,19690,74292,5605,413,0.7784,0.9795,0.8674,0.9795,0.9298,0.9543,0.9692487739607285,2.6875
Artificial_appearing-clusters_2_appearing-clustersperiodic_OOB.csv,20081,73748,6149,22,0.7656,0.9989,0.8668,0.9989,0.923,0.9602,0.977903967539872,4.859375
Artificial_appearing-clusters_2_appearing-clustersperiodic_ROSE.csv,17758,55758,24139,2345,0.4238,0.8834,0.5728,0.8834,0.6979,0.7852,0.8452267351793905,9.46875
Artificial_appearing-clusters_2_appearing-clustersperiodic_SGBT.csv,16252,76501,3396,3851,0.8272,0.8084,0.8177,0.8084,0.9575,0.8798,0.9763717630203551,73.75
Artificial_appearing-clusters_2_appearing-clustersperiodic_UOB.csv,20096,72083,7814,7,0.72,0.9997,0.8371,0.9997,0.9022,0.9497,0.9736536157163015,4.6875
Artificial_appearing-clusters_2_appearing-clusterssudden_ARF-Re.csv,19712,70507,9524,257,0.6742,0.9871,0.8012,0.9871,0.881,0.9326,0.9683884951389389,10.546875
Artificial_appearing-clusters_2_appearing-clusterssudden_ARF.csv,15783,75166,4865,4186,0.7644,0.7904,0.7772,0.7904,0.9392,0.8616,0.9682482529606737,14.1875
Artificial_appearing-clusters_2_appearing-clusterssudden_CALMID.csv,17700,73364,6667,2269,0.7264,0.8864,0.7984,0.8864,0.9167,0.9014,0.9634781076141399,8.109375
Artificial_appearing-clusters_2_appearing-clusterssudden_CSMOTE.csv,18522,69643,10388,1447,0.6407,0.9275,0.7579,0.9275,0.8702,0.8984,0.9441044669330552,326.046875
Artificial_appearing-clusters_2_appearing-clusterssudden_EFDT.csv,14325,74801,5230,5644,0.7325,0.7174,0.7249,0.7174,0.9347,0.8188,0.9509431901187666,2.40625
Artificial_appearing-clusters_2_appearing-clusterssudden_MICFOAL.csv,17405,72754,7277,2564,0.7052,0.8716,0.7796,0.8716,0.9091,0.8901,0.9493120923629474,2.53125
Artificial_appearing-clusters_2_appearing-clusterssudden_OOB.csv,19656,69892,10139,313,0.6597,0.9843,0.79,0.9843,0.8733,0.9272,0.9630951512598648,4.9375
Artificial_appearing-clusters_2_appearing-clusterssudden_ROSE.csv,15924,58362,21669,4045,0.4236,0.7974,0.5533,0.7974,0.7292,0.7626,0.838371486337241,9.484375
Artificial_appearing-clusters_2_appearing-clusterssudden_SGBT.csv,12024,77425,2606,7945,0.8219,0.6021,0.695,0.6021,0.9674,0.7632,0.9622449067149031,75.40625
